State,Month,Day,Hour,Temperature,Humidity,WindSpeed,WeatherType
Andhra Pradesh,3,14,12,36.3,67,22.7,Windy
Andhra Pradesh,3,15,12,34.8,68,18.5,Sunny
Andhra Pradesh,3,16,12,35.9,67,17.7,Sunny
Andhra Pradesh,3,17,12,36.4,67,19.9,Sunny
Andhra Pradesh,3,18,12,38.4,64,19.8,Sunny
Andhra Pradesh,3,19,12,37.8,62,18.6,Sunny
Andhra Pradesh,3,20,12,36.4,63,20.3,Windy
Andhra Pradesh,3,21,12,37.3,65,17.9,Sunny
Andhra Pradesh,3,22,12,35.6,67,16.2,Rainy
Andhra Pradesh,3,23,12,36.1,65,16.8,Sunny
Andhra Pradesh,3,24,12,36.4,65,16.4,Sunny
Andhra Pradesh,3,25,12,37.3,61,20.4,Windy
Andhra Pradesh,3,26,12,37.3,60,19.1,Sunny
Andhra Pradesh,3,27,12,38.2,58,17.5,Sunny
Andhra Pradesh,3,28,12,39.0,56,17.8,Sunny
Andhra Pradesh,3,29,12,39.7,47,18.7,Sunny
Andhra Pradesh,3,30,12,38.7,55,18.7,Sunny
Andhra Pradesh,3,31,12,39.8,51,21.4,Windy
Andhra Pradesh,4,1,12,40.0,50,16.1,Sunny
Andhra Pradesh,4,2,12,39.7,51,21.9,Windy
Andhra Pradesh,4,3,12,38.9,63,18.9,Sunny
Andhra Pradesh,4,4,12,38.1,64,17.6,Sunny
Andhra Pradesh,4,5,12,39.2,64,20.8,Windy
Andhra Pradesh,4,6,12,39.4,62,18.3,Sunny
Andhra Pradesh,4,7,12,39.7,64,18.4,Sunny
Andhra Pradesh,4,8,12,38.2,65,14.6,Sunny
Andhra Pradesh,4,9,12,33.8,72,14.0,Rainy
Andhra Pradesh,4,10,12,37.7,65,18.7,Sunny
Andhra Pradesh,4,11,12,38.7,62,18.8,Sunny
Andhra Pradesh,4,12,12,38.9,61,17.4,Sunny
Andhra Pradesh,4,13,12,40.2,57,18.3,Sunny
Andhra Pradesh,4,14,12,39.9,60,18.1,Sunny
Andhra Pradesh,4,15,12,39.6,59,18.9,Sunny
Andhra Pradesh,4,16,12,39.9,61,20.4,Windy
Andhra Pradesh,4,17,12,39.9,63,20.9,Windy
Andhra Pradesh,4,18,12,39.7,61,17.6,Sunny
Andhra Pradesh,4,19,12,38.2,62,17.0,Sunny
Andhra Pradesh,4,20,12,39.0,64,19.3,Sunny
Andhra Pradesh,4,21,12,39.9,62,17.1,Sunny
Andhra Pradesh,4,22,12,39.6,63,20.8,Windy
Andhra Pradesh,4,23,12,40.7,64,18.7,Sunny
Andhra Pradesh,4,24,12,39.8,61,16.3,Sunny
Andhra Pradesh,4,25,12,38.7,66,16.1,Rainy
Andhra Pradesh,4,26,12,39.0,66,17.4,Sunny
Andhra Pradesh,4,27,12,35.5,72,18.4,Rainy
Andhra Pradesh,4,28,12,36.1,71,15.6,Rainy
Andhra Pradesh,4,29,12,37.8,65,14.3,Sunny
Andhra Pradesh,4,30,12,39.0,63,16.9,Sunny
Andhra Pradesh,5,1,12,39.4,64,15.8,Sunny
Andhra Pradesh,5,2,12,39.6,63,16.8,Sunny
Andhra Pradesh,5,3,12,40.5,61,19.4,Sunny
Andhra Pradesh,5,4,12,39.5,62,21.3,Windy
Andhra Pradesh,5,5,12,40.0,62,19.0,Sunny
Andhra Pradesh,5,6,12,40.1,64,19.7,Sunny
Andhra Pradesh,5,7,12,39.8,64,17.1,Sunny
Andhra Pradesh,5,8,12,40.0,60,17.9,Sunny
Andhra Pradesh,5,9,12,41.1,62,19.3,Sunny
Andhra Pradesh,5,10,12,40.1,60,19.0,Sunny
Andhra Pradesh,5,11,12,38.2,62,14.8,Sunny
Andhra Pradesh,5,12,12,39.7,61,20.4,Windy
Andhra Pradesh,5,13,12,39.8,64,19.4,Sunny
Andhra Pradesh,5,14,12,39.6,63,20.0,Sunny
Andhra Pradesh,5,15,12,40.2,60,17.8,Sunny
Andhra Pradesh,5,16,12,39.6,63,13.4,Sunny
Andhra Pradesh,5,17,12,37.8,60,14.1,Sunny
Andhra Pradesh,5,18,12,40.2,59,29.1,Windy
Andhra Pradesh,5,19,12,40.9,37,21.4,Windy
Andhra Pradesh,5,20,12,41.7,29,21.8,Windy
Andhra Pradesh,5,21,12,42.8,27,18.2,Sunny
Andhra Pradesh,5,22,12,42.6,32,15.3,Sunny
Andhra Pradesh,5,23,12,41.9,54,18.5,Sunny
Andhra Pradesh,5,24,12,41.0,67,18.7,Sunny
Andhra Pradesh,5,25,12,40.2,66,19.2,Sunny
Andhra Pradesh,5,26,12,39.4,65,19.4,Sunny
Andhra Pradesh,5,27,12,40.8,65,20.1,Windy
Andhra Pradesh,5,28,12,42.0,60,19.5,Sunny
Andhra Pradesh,5,29,12,42.4,54,19.6,Sunny
Andhra Pradesh,5,30,12,40.7,57,16.8,Sunny
Andhra Pradesh,5,31,12,37.7,63,17.2,Rainy
Andhra Pradesh,6,1,12,36.6,69,17.6,Rainy
Andhra Pradesh,6,2,12,36.9,66,12.2,Sunny
Andhra Pradesh,6,3,12,37.1,58,16.6,Sunny
Andhra Pradesh,6,4,12,37.1,47,18.0,Sunny
Andhra Pradesh,6,5,12,37.9,47,17.6,Sunny
Andhra Pradesh,6,6,12,38.1,43,17.2,Sunny
Andhra Pradesh,6,7,12,39.9,40,19.4,Sunny
Andhra Pradesh,6,8,12,38.5,42,20.0,Sunny
Andhra Pradesh,6,9,12,40.1,43,24.0,Windy
Andhra Pradesh,6,10,12,32.3,73,13.0,Rainy
Andhra Pradesh,6,11,12,28.2,90,14.4,Rainy
Andhra Pradesh,6,12,12,29.5,81,20.0,Rainy
Andhra Pradesh,6,13,12,34.6,61,24.0,Windy
Andhra Pradesh,6,14,12,35.1,60,20.9,Windy
Andhra Pradesh,6,15,12,35.5,57,23.4,Windy
Andhra Pradesh,6,16,12,34.6,57,21.9,Windy
Andhra Pradesh,6,17,12,35.0,58,23.2,Windy
Andhra Pradesh,6,18,12,32.9,67,19.5,Sunny
Andhra Pradesh,6,19,12,36.8,54,20.3,Windy
Andhra Pradesh,6,20,12,38.3,52,22.6,Windy
Andhra Pradesh,6,21,12,30.7,75,18.3,Rainy
Andhra Pradesh,6,22,12,35.1,59,20.2,Windy
Andhra Pradesh,6,23,12,37.6,55,15.4,Sunny
Andhra Pradesh,6,24,12,36.8,69,15.2,Rainy
Andhra Pradesh,6,25,12,34.9,73,19.4,Rainy
Andhra Pradesh,6,26,12,35.0,71,15.9,Rainy
Andhra Pradesh,6,27,12,36.8,72,16.4,Rainy
Andhra Pradesh,6,28,12,33.5,79,11.6,Rainy
Andhra Pradesh,6,29,12,34.0,77,12.8,Rainy
Andhra Pradesh,6,30,12,33.7,80,13.0,Rainy
Andhra Pradesh,7,1,12,33.8,72,10.5,Sunny
Andhra Pradesh,7,2,12,33.6,68,14.5,Rainy
Andhra Pradesh,7,3,12,34.8,63,17.3,Sunny
Andhra Pradesh,7,4,12,30.7,73,18.4,Rainy
Andhra Pradesh,7,5,12,29.6,84,15.5,Rainy
Andhra Pradesh,7,6,12,31.2,75,17.3,Sunny
Andhra Pradesh,7,7,12,35.4,68,13.8,Sunny
Andhra Pradesh,7,8,12,34.3,70,10.8,Rainy
Andhra Pradesh,7,9,12,31.9,81,11.2,Rainy
Andhra Pradesh,7,10,12,32.4,73,17.7,Sunny
Andhra Pradesh,7,11,12,33.5,68,13.7,Sunny
Andhra Pradesh,7,12,12,34.5,67,14.4,Sunny
Andhra Pradesh,7,13,12,32.6,73,9.6,Rainy
Andhra Pradesh,7,14,12,30.4,86,11.3,Rainy
Andhra Pradesh,7,15,12,28.8,89,16.1,Rainy
Andhra Pradesh,7,16,12,30.4,83,17.2,Rainy
Andhra Pradesh,7,17,12,34.3,77,17.9,Rainy
Andhra Pradesh,7,18,12,33.5,75,10.1,Sunny
Andhra Pradesh,7,19,12,32.7,81,10.5,Rainy
Andhra Pradesh,7,20,12,33.5,82,13.0,Rainy
Andhra Pradesh,7,21,12,33.6,78,14.1,Rainy
Andhra Pradesh,7,22,12,34.5,79,9.8,Rainy
Andhra Pradesh,7,23,12,30.1,86,12.3,Rainy
Andhra Pradesh,7,24,12,33.0,82,12.9,Rainy
Andhra Pradesh,7,25,12,31.2,85,10.5,Rainy
Andhra Pradesh,7,26,12,33.8,69,12.0,Rainy
Andhra Pradesh,7,27,12,34.1,64,15.9,Sunny
Andhra Pradesh,7,28,12,33.8,76,14.5,Rainy
Andhra Pradesh,7,29,12,31.2,84,10.7,Rainy
Andhra Pradesh,7,30,12,33.1,81,13.8,Rainy
Andhra Pradesh,7,31,12,32.9,82,14.3,Rainy
Andhra Pradesh,8,1,12,33.5,80,16.5,Rainy
Andhra Pradesh,8,2,12,33.4,69,14.6,Rainy
Andhra Pradesh,8,3,12,32.2,71,24.3,Windy
Andhra Pradesh,8,4,12,28.0,86,20.3,Rainy
Andhra Pradesh,8,5,12,29.4,85,20.7,Rainy
Andhra Pradesh,8,6,12,33.3,73,20.3,Windy
Andhra Pradesh,8,7,12,32.8,69,22.3,Rainy
Andhra Pradesh,8,8,12,33.6,66,22.6,Windy
Andhra Pradesh,8,9,12,33.3,69,19.4,Rainy
Andhra Pradesh,8,10,12,28.9,85,15.7,Rainy
Andhra Pradesh,8,11,12,33.5,69,22.7,Windy
Andhra Pradesh,8,12,12,29.2,81,17.7,Rainy
Andhra Pradesh,8,13,12,27.9,87,18.9,Rainy
Andhra Pradesh,8,14,12,27.7,87,17.6,Rainy
Andhra Pradesh,8,15,12,26.4,91,15.2,Rainy
Andhra Pradesh,8,16,12,27.4,89,17.2,Rainy
Andhra Pradesh,8,17,12,30.8,80,21.6,Rainy
Andhra Pradesh,8,18,12,32.4,72,21.3,Windy
Andhra Pradesh,8,19,12,28.6,82,17.0,Rainy
Andhra Pradesh,8,20,12,27.5,90,14.9,Rainy
Andhra Pradesh,8,21,12,30.2,82,21.3,Rainy
Andhra Pradesh,8,22,12,33.0,80,13.6,Rainy
Andhra Pradesh,8,23,12,32.3,79,15.1,Sunny
Andhra Pradesh,8,24,12,32.8,75,12.9,Rainy
Andhra Pradesh,8,25,12,32.3,75,11.3,Rainy
Andhra Pradesh,8,26,12,31.2,77,10.1,Sunny
Andhra Pradesh,8,27,12,32.6,79,12.0,Rainy
Andhra Pradesh,8,28,12,32.8,72,14.0,Sunny
Andhra Pradesh,8,29,12,33.2,72,11.2,Sunny
Andhra Pradesh,8,30,12,33.6,70,12.1,Sunny
Andhra Pradesh,8,31,12,33.5,72,15.5,Sunny
Andhra Pradesh,9,1,12,34.9,72,11.1,Rainy
Andhra Pradesh,9,2,12,32.3,83,11.7,Rainy
Andhra Pradesh,9,3,12,31.1,85,12.2,Rainy
Andhra Pradesh,9,4,12,32.2,81,15.5,Rainy
Andhra Pradesh,9,5,12,32.9,78,12.4,Sunny
Andhra Pradesh,9,6,12,33.2,77,15.4,Sunny
Andhra Pradesh,9,7,12,33.3,78,11.4,Rainy
Andhra Pradesh,9,8,12,34.5,73,13.7,Sunny
Andhra Pradesh,9,9,12,34.4,75,11.1,Sunny
Andhra Pradesh,9,10,12,35.3,73,12.8,Rainy
Andhra Pradesh,9,11,12,33.2,79,9.7,Rainy
Andhra Pradesh,9,12,12,30.6,81,14.0,Rainy
Andhra Pradesh,9,13,12,27.7,88,18.9,Rainy
Andhra Pradesh,9,14,12,28.4,87,18.8,Rainy
Andhra Pradesh,9,15,12,30.3,85,15.0,Rainy
Andhra Pradesh,9,16,12,31.2,84,15.9,Rainy
Andhra Pradesh,9,17,12,31.9,83,13.7,Rainy
Andhra Pradesh,9,18,12,31.6,83,13.7,Rainy
Andhra Pradesh,9,19,12,30.6,84,12.4,Rainy
Andhra Pradesh,9,20,12,29.8,85,14.1,Rainy
Andhra Pradesh,9,21,12,29.7,79,22.4,Rainy
Andhra Pradesh,9,22,12,31.7,72,22.4,Windy
Andhra Pradesh,9,23,12,32.4,69,19.9,Sunny
Andhra Pradesh,9,24,12,33.5,68,13.1,Sunny
Andhra Pradesh,9,25,12,31.7,81,13.1,Rainy
Andhra Pradesh,9,26,12,29.7,85,14.3,Rainy
Andhra Pradesh,9,27,12,30.3,83,17.7,Rainy
Andhra Pradesh,9,28,12,31.8,76,13.1,Sunny
Andhra Pradesh,9,29,12,32.2,80,11.2,Rainy
Andhra Pradesh,9,30,12,31.1,81,14.1,Rainy
Andhra Pradesh,10,1,12,32.1,76,18.1,Rainy
Andhra Pradesh,10,2,12,33.0,72,15.1,Sunny
Andhra Pradesh,10,3,12,33.3,67,14.4,Sunny
Andhra Pradesh,10,4,12,33.3,68,19.1,Sunny
Andhra Pradesh,10,5,12,32.8,68,17.9,Sunny
Andhra Pradesh,10,6,12,33.1,67,17.3,Sunny
Andhra Pradesh,10,7,12,32.0,73,12.1,Sunny
Andhra Pradesh,10,8,12,31.0,79,7.7,Rainy
Andhra Pradesh,10,9,12,31.3,86,8.6,Rainy
Andhra Pradesh,10,10,12,30.7,87,9.0,Rainy
Andhra Pradesh,10,11,12,29.9,89,11.0,Rainy
Andhra Pradesh,10,12,12,28.5,89,10.8,Rainy
Andhra Pradesh,10,13,12,28.5,84,23.4,Rainy
Andhra Pradesh,10,14,12,31.3,80,21.2,Rainy
Andhra Pradesh,10,15,12,31.1,79,12.3,Sunny
Andhra Pradesh,10,16,12,30.8,86,9.8,Rainy
Andhra Pradesh,10,17,12,30.5,89,6.9,Rainy
Andhra Pradesh,10,18,12,30.2,88,10.5,Rainy
Andhra Pradesh,10,19,12,31.1,86,12.2,Rainy
Andhra Pradesh,10,20,12,27.1,94,10.1,Rainy
Andhra Pradesh,10,21,12,28.0,91,9.0,Rainy
Andhra Pradesh,10,22,12,32.3,77,11.7,Sunny
Andhra Pradesh,10,23,12,32.6,72,12.9,Sunny
Andhra Pradesh,10,24,12,32.6,73,9.2,Sunny
Andhra Pradesh,10,25,12,31.7,80,10.2,Sunny
Andhra Pradesh,10,26,12,32.3,76,10.7,Sunny
Andhra Pradesh,10,27,12,30.6,81,12.5,Sunny
Andhra Pradesh,10,28,12,31.0,76,10.3,Sunny
Andhra Pradesh,10,29,12,30.3,71,10.1,Sunny
Andhra Pradesh,10,30,12,31.7,73,10.6,Sunny
Andhra Pradesh,10,31,12,32.0,70,11.7,Sunny
Andhra Pradesh,11,1,12,32.4,68,9.1,Sunny
Andhra Pradesh,11,2,12,32.9,68,9.7,Sunny
Andhra Pradesh,11,3,12,31.9,77,9.2,Sunny
Andhra Pradesh,11,4,12,32.0,77,10.9,Sunny
Andhra Pradesh,11,5,12,30.2,82,11.5,Rainy
Andhra Pradesh,11,6,12,29.7,86,13.3,Rainy
Andhra Pradesh,11,7,12,30.5,85,12.9,Rainy
Andhra Pradesh,11,8,12,31.0,79,12.6,Sunny
Andhra Pradesh,11,9,12,30.1,68,10.4,Sunny
Andhra Pradesh,11,10,12,29.4,63,8.9,Sunny
Andhra Pradesh,11,11,12,30.2,64,16.0,Sunny
Andhra Pradesh,11,12,12,27.7,89,17.0,Rainy
Andhra Pradesh,11,13,12,30.0,87,16.5,Rainy
Andhra Pradesh,11,14,12,30.7,79,14.2,Sunny
Andhra Pradesh,11,15,12,28.4,89,19.5,Rainy
Andhra Pradesh,11,16,12,26.8,93,17.4,Rainy
Andhra Pradesh,11,17,12,29.7,85,14.6,Sunny
Andhra Pradesh,11,18,12,29.0,90,11.9,Sunny
Andhra Pradesh,11,19,12,29.9,86,12.1,Sunny
Andhra Pradesh,11,20,12,29.6,83,8.0,Sunny
Andhra Pradesh,11,21,12,30.7,77,7.4,Sunny
Andhra Pradesh,11,22,12,30.2,78,11.1,Sunny
Andhra Pradesh,11,23,12,28.7,88,12.2,Rainy
Andhra Pradesh,11,24,12,29.3,79,15.3,Sunny
Andhra Pradesh,11,25,12,28.3,77,16.9,Rainy
Andhra Pradesh,11,26,12,23.3,93,31.0,Rainy
Andhra Pradesh,11,27,12,23.6,93,27.8,Rainy
Andhra Pradesh,11,28,12,26.2,90,13.8,Rainy
Andhra Pradesh,11,29,12,28.1,82,11.1,Rainy
Andhra Pradesh,11,30,12,28.6,82,10.7,Sunny
Andhra Pradesh,12,1,12,28.2,83,8.7,Sunny
Andhra Pradesh,12,2,12,28.3,81,10.3,Sunny
Andhra Pradesh,12,3,12,28.1,78,13.7,Sunny
Andhra Pradesh,12,4,12,28.9,80,14.5,Sunny
Andhra Pradesh,12,5,12,28.8,81,14.5,Sunny
Andhra Pradesh,12,6,12,26.5,81,13.8,Sunny
Andhra Pradesh,12,7,12,28.5,87,17.7,Rainy
Andhra Pradesh,12,8,12,28.6,88,13.7,Rainy
Andhra Pradesh,12,9,12,27.9,83,7.9,Sunny
Andhra Pradesh,12,10,12,28.5,80,9.1,Sunny
Andhra Pradesh,12,11,12,27.7,83,7.7,Sunny
Andhra Pradesh,12,12,12,28.4,79,11.5,Sunny
Andhra Pradesh,12,13,12,28.6,74,9.7,Sunny
Andhra Pradesh,12,14,12,28.8,76,11.4,Sunny
Andhra Pradesh,12,15,12,28.9,78,14.8,Sunny
Andhra Pradesh,12,16,12,29.1,81,15.6,Sunny
Andhra Pradesh,12,17,12,30.3,77,12.4,Sunny
Andhra Pradesh,12,18,12,29.4,80,11.2,Sunny
Andhra Pradesh,12,19,12,29.2,79,11.0,Sunny
Andhra Pradesh,12,20,12,28.8,77,12.3,Sunny
Andhra Pradesh,12,21,12,28.4,74,8.9,Sunny
Andhra Pradesh,12,22,12,28.0,73,9.2,Sunny
Andhra Pradesh,12,23,12,28.3,72,8.3,Sunny
Andhra Pradesh,12,24,12,28.5,71,10.2,Sunny
Andhra Pradesh,12,25,12,28.0,73,8.6,Sunny
Andhra Pradesh,12,26,12,29.0,74,10.0,Sunny
Andhra Pradesh,12,27,12,29.2,75,8.1,Sunny
Andhra Pradesh,12,28,12,29.7,74,7.6,Sunny
Andhra Pradesh,12,29,12,29.7,75,15.0,Sunny
Andhra Pradesh,12,30,12,30.0,73,14.3,Sunny
Andhra Pradesh,12,31,12,30.3,72,16.6,Sunny
Andhra Pradesh,1,1,12,28.8,72,19.5,Sunny
Andhra Pradesh,1,2,12,29.9,72,14.5,Sunny
Andhra Pradesh,1,3,12,29.6,72,17.8,Sunny
Andhra Pradesh,1,4,12,29.0,73,12.5,Sunny
Andhra Pradesh,1,5,12,29.0,78,12.3,Sunny
Andhra Pradesh,1,6,12,25.8,91,13.9,Rainy
Andhra Pradesh,1,7,12,27.1,79,10.8,Sunny
Andhra Pradesh,1,8,12,29.8,82,13.7,Rainy
Andhra Pradesh,1,9,12,30.2,78,16.0,Sunny
Andhra Pradesh,1,10,12,30.9,77,11.1,Sunny
Andhra Pradesh,1,11,12,31.1,75,8.5,Sunny
Andhra Pradesh,1,12,12,31.4,75,10.7,Sunny
Andhra Pradesh,1,13,12,31.3,76,13.0,Sunny
Andhra Pradesh,1,14,12,31.3,75,11.0,Sunny
Andhra Pradesh,1,15,12,31.2,74,13.6,Sunny
Andhra Pradesh,1,16,12,30.8,72,11.1,Sunny
Andhra Pradesh,1,17,12,30.5,75,15.3,Sunny
Andhra Pradesh,1,18,12,29.1,76,14.2,Sunny
Andhra Pradesh,1,19,12,30.3,72,9.1,Sunny
Andhra Pradesh,1,20,12,32.5,65,15.0,Sunny
Andhra Pradesh,1,21,12,33.6,60,14.9,Sunny
Andhra Pradesh,1,22,12,32.9,71,18.6,Sunny
Andhra Pradesh,1,23,12,32.7,70,16.4,Sunny
Andhra Pradesh,1,24,12,33.0,65,15.8,Sunny
Andhra Pradesh,1,25,12,32.9,65,17.1,Sunny
Andhra Pradesh,1,26,12,33.7,64,14.8,Sunny
Andhra Pradesh,1,27,12,32.4,69,20.9,Windy
Andhra Pradesh,1,28,12,31.1,72,16.1,Sunny
Andhra Pradesh,1,29,12,32.1,72,17.9,Sunny
Andhra Pradesh,1,30,12,33.1,68,15.1,Sunny
Andhra Pradesh,1,31,12,32.4,66,12.7,Sunny
Andhra Pradesh,2,1,12,30.8,74,15.0,Rainy
Andhra Pradesh,2,2,12,31.9,71,16.3,Sunny
Andhra Pradesh,2,3,12,31.5,68,16.9,Sunny
Andhra Pradesh,2,4,12,30.9,66,15.9,Sunny
Andhra Pradesh,2,5,12,32.0,61,14.0,Sunny
Andhra Pradesh,2,6,12,32.7,63,13.5,Sunny
Andhra Pradesh,2,7,12,32.7,60,13.2,Sunny
Andhra Pradesh,2,8,12,31.7,61,18.3,Sunny
Andhra Pradesh,2,9,12,31.5,65,13.6,Sunny
Andhra Pradesh,2,10,12,33.0,62,15.8,Sunny
Andhra Pradesh,2,11,12,32.5,67,18.9,Sunny
Andhra Pradesh,2,12,12,32.7,64,19.5,Sunny
Andhra Pradesh,2,13,12,32.9,62,18.2,Sunny
Andhra Pradesh,2,14,12,33.4,63,18.6,Sunny
Andhra Pradesh,2,15,12,34.4,58,15.1,Sunny
Andhra Pradesh,2,16,12,34.1,65,17.2,Sunny
Andhra Pradesh,2,17,12,33.3,68,21.1,Windy
Andhra Pradesh,2,18,12,31.6,66,18.2,Sunny
Andhra Pradesh,2,19,12,30.7,69,14.2,Rainy
Andhra Pradesh,2,20,12,31.3,67,17.1,Sunny
Andhra Pradesh,2,21,12,29.3,74,12.9,Rainy
Andhra Pradesh,2,22,12,34.1,68,14.9,Sunny
Andhra Pradesh,2,23,12,34.4,61,15.2,Sunny
Andhra Pradesh,2,24,12,35.3,59,17.4,Sunny
Andhra Pradesh,2,25,12,36.6,49,15.0,Sunny
Andhra Pradesh,2,26,12,38.0,44,12.0,Sunny
Andhra Pradesh,2,27,12,38.6,46,16.8,Sunny
Andhra Pradesh,2,28,12,37.8,58,19.7,Sunny
Andhra Pradesh,3,1,12,37.6,63,20.0,Sunny
Andhra Pradesh,3,2,12,37.5,61,19.0,Sunny
Andhra Pradesh,3,3,12,37.3,50,17.1,Sunny
Andhra Pradesh,3,4,12,36.0,55,18.6,Sunny
Andhra Pradesh,3,5,12,36.6,51,15.8,Sunny
Andhra Pradesh,3,6,12,37.9,49,17.9,Sunny
Andhra Pradesh,3,7,12,37.2,64,18.2,Sunny
Andhra Pradesh,3,8,12,36.5,66,20.5,Windy
Andhra Pradesh,3,9,12,36.0,64,16.4,Sunny
Andhra Pradesh,3,10,12,36.6,66,20.0,Sunny
Andhra Pradesh,3,11,12,37.3,66,20.3,Windy
Andhra Pradesh,3,12,12,36.4,58,20.0,Sunny
Andhra Pradesh,3,13,12,36.3,58,19.8,Sunny
Andhra Pradesh,3,14,12,36.8,53,18.2,Sunny
Andhra Pradesh,3,15,12,37.5,62,18.6,Sunny
Andhra Pradesh,3,16,12,38.1,64,22.2,Windy
Andhra Pradesh,3,17,12,37.6,65,20.7,Windy
Andhra Pradesh,3,18,12,36.8,64,19.6,Sunny
Andhra Pradesh,3,19,12,37.4,63,19.2,Sunny
Andhra Pradesh,3,20,12,37.8,61,18.3,Sunny
Andhra Pradesh,3,21,12,38.5,57,19.5,Sunny
Andhra Pradesh,3,22,12,38.1,57,20.7,Windy
Andhra Pradesh,3,23,12,37.8,58,18.4,Sunny
Andhra Pradesh,3,24,12,38.2,53,15.7,Sunny
Andhra Pradesh,3,25,12,39.4,54,20.3,Windy
